,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
Patagonia Organic Cotton Gi Pants - Men's,Patagonia,125.00,0,5.0,1,clothing,bottoms,2020-10-20
Kuhl Renegade Pants - Men's,Kuhl,104.95,0,0.0,0,clothing,bottoms,2020-10-20
Houdini Daybreak Shorts - Men's,Houdini,99.93,47,5.0,1,clothing,bottoms,2020-10-20
"Arc'teryx Motus 6"" Shorts - Men's",Arc'teryx,90.94,30,3.8,11,clothing,bottoms,2020-10-20
DU/ER No Sweat Shorts - Men's,DU/ER,83.95,0,5.0,1,clothing,bottoms,2020-10-20
"The North Face North Dome Shorts - 12"" Inseam - Men's",The North Face,55.99,44,0.0,0,clothing,bottoms,2020-10-20
Adidas Alphaskin Parley 3/4 Tights - Men's,Adidas,38.38,52,0.0,0,clothing,bottoms,2020-10-20
Arc'teryx Kestros Pants - Men's,Arc'teryx,149.95,0,4.4,19,clothing,bottoms,2020-10-20
Arc'teryx Zeta SL Gore-Tex Pants - Men's,Arc'teryx,299.95,0,4.3,10,clothing,bottoms,2020-10-20
MEC Ferrata Pants - Men's,MEC,129.95,0,4.5,6,clothing,bottoms,2020-10-20
Level Six Pro Guide Neoprene Lined Boardshorts - Men's,Level Six,89.95,0,4.5,6,clothing,bottoms,2020-10-20
MEC Highpoint Pants - Men's,MEC,39.98,60,4.0,5,clothing,bottoms,2020-10-20
"Kuhl Renegade 10"" Shorts - Men's",Kuhl,94.95,0,5.0,1,clothing,bottoms,2020-10-20
Patagonia Venga Rock Knickers - Men's,Patagonia,63.00,30,4.0,2,clothing,bottoms,2020-10-20
Patagonia Causey Pike Pants - Men's,Patagonia,149.00,0,0.0,0,clothing,bottoms,2020-10-20
Rab Calient Pants - Men's,Rab,129.95,0,0.0,0,clothing,bottoms,2020-10-20
Levis 512 Slim Taper Jeans - Men's,Levis,107.95,0,0.0,0,clothing,bottoms,2020-10-20
Picture Object Pants - Men's,Picture,249.95,0,0.0,0,clothing,bottoms,2020-10-20
,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
Patagonia Fjord Lightweight Flannel Shirt - Men's,Patagonia,99.00,0,4.0,3,clothing,shirts-and-tops,2020-10-20
Arc'teryx Motus AR Long Sleeve Zip Neck - Men's,Arc'teryx,99.95,0,5.0,2,clothing,shirts-and-tops,2020-10-20
Tentree Benson Flannel Shirt - Men's,Tentree,88.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Fjallraven Fjallglim Long Sleeve Shirt - Men's,Fjallraven,129.95,0,5.0,1,clothing,shirts-and-tops,2020-10-20
MEC Core Train Long Sleeve T-Shirt - Men's,MEC,44.95,0,4.1,8,clothing,shirts-and-tops,2020-10-20
Fjallraven Ovik Flannel Long Sleeve Shirt - Men's,Fjallraven,94.95,0,5.0,1,clothing,shirts-and-tops,2020-10-20
MEC All Day Active Long Sleeve Henley - Men's,MEC,39.95,0,4.2,4,clothing,shirts-and-tops,2020-10-20
Patagonia Capilene Cool Trail Long Sleeve Shirt - Men's,Patagonia,59.00,0,5.0,1,clothing,shirts-and-tops,2020-10-20
MEC Chilcotins Long Sleeve Utility Shirt - Men's,MEC,49.93,44,4.5,4,clothing,shirts-and-tops,2020-10-20
Fjallraven Canada Shirt - Men's,Fjallraven,184.95,0,3.5,2,clothing,shirts-and-tops,2020-10-20
Tentree Henley Classic Long Sleeve - Men's,Tentree,44.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Brooks Dash Half Zip Long Sleeve Top - Men's,Brooks,69.95,0,4.6,14,clothing,shirts-and-tops,2020-10-20
MEC Classic Graphic T-shirt - Men's,MEC,24.95,0,3.2,11,clothing,shirts-and-tops,2020-10-20
Prana Prevailor Long Sleeve - Men's,Prana,59.97,20,0.0,0,clothing,shirts-and-tops,2020-10-20
MEC Classic Long Sleeve T-shirt - Men's,MEC,19.95,0,4.2,8,clothing,shirts-and-tops,2020-10-20
MEC Overland Stretch Shirt - Men's,MEC,74.95,0,3.7,3,clothing,shirts-and-tops,2020-10-20
MEC All Day Active V-Neck T-shirt - Men's,MEC,32.95,0,4.0,4,clothing,shirts-and-tops,2020-10-20
MEC Core Train Short Sleeve T-Shirt - Men's,MEC,39.95,0,4.6,8,clothing,shirts-and-tops,2020-10-20
Tentree Juniper Classic T-Shirt - Men's,Tentree,39.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
MEC All Day Essentials Short Sleeve T-Shirt - Men's,MEC,32.95,0,4.0,4,clothing,shirts-and-tops,2020-10-20
Arc'teryx Kaslo Long Sleeve Shirt - Men's,Arc'teryx,119.95,0,3.0,2,clothing,shirts-and-tops,2020-10-20
Brooks Distance Long Sleeve Top - Men's,Brooks,43.95,0,4.9,19,clothing,shirts-and-tops,2020-10-20
Patagonia Fjord Flannel Shirt - Men's,Patagonia,109.00,0,4.8,11,clothing,shirts-and-tops,2020-10-20
Arc'teryx Bernal Long Sleeve Shirt - Men's,Arc'teryx,129.95,0,4.5,14,clothing,shirts-and-tops,2020-10-20
Vuori Strato Tech T-Shirt - Men's,Vuori,53.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
MEC Classic Short Sleeve T-shirt - Men's,MEC,17.95,0,3.3,14,clothing,shirts-and-tops,2020-10-20
Arc'teryx Arc'word Short Sleeve T-Shirt - Men's,Arc'teryx,44.95,0,4.5,22,clothing,shirts-and-tops,2020-10-20
Black Diamond Chalked Up T-Shirt - Men's,Black Diamond,38.95,0,2.6,5,clothing,shirts-and-tops,2020-10-20
Patagonia P-6 Logo Long Sleeve Responsibili-Tee - Men's,Patagonia,55.00,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Prana Hardesty Shirt - Men's,Prana,39.97,20,5.0,2,clothing,shirts-and-tops,2020-10-20
Vuori Ponto Performance Pullover - Men's,Vuori,135.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Tentree Elm Cotton Classic T-Shirt - Men's,Tentree,35.95,0,3.0,1,clothing,shirts-and-tops,2020-10-20
Patagonia Live Simply Guitar Responsibili T-Shirt - Men's,Patagonia,45.00,0,3.0,2,clothing,shirts-and-tops,2020-10-20
The North Face Dome Climb Short Sleeve T-Shirt - Men's,The North Face,27.97,20,5.0,1,clothing,shirts-and-tops,2020-10-20
Patagonia Cotton in Conversion T-Shirt - Men's,Patagonia,49.00,0,0.0,0,clothing,shirts-and-tops,2020-10-20
MEC Sun Dodger Short Sleeve Hiking Shirt - Men's,MEC,24.94,64,3.7,7,clothing,shirts-and-tops,2020-10-20
MEC Chilcotins Short Sleeve Utility Shirt - Men's,MEC,30.94,61,0.0,0,clothing,shirts-and-tops,2020-10-20
Patagonia Isthmus Quilted Shirt Jacket - Men's,Patagonia,209.00,0,5.0,2,clothing,shirts-and-tops,2020-10-20
Smartwool Merino 150 Pocket Tee - Men's,Smartwool,99.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Patagonia Line Logo Ridge Pocket Responsibili T-Shirt - Men's,Patagonia,49.00,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Brooks Distance Short Sleeve T-Shirt - Men's,Brooks,33.95,0,4.4,30,clothing,shirts-and-tops,2020-10-20
NRS Hydroskin 0.5mm Long Sleeve Shirt - Men's,NRS,132.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Arc'teryx Cormac Logo Short Sleeve Tee - Men's,Arc'teryx,74.95,0,5.0,3,clothing,shirts-and-tops,2020-10-20
Fjallraven Fjallraven Logo Short Sleeve T-Shirt - Men's,Fjallraven,49.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Prana Prevailor Shirt - Men's,Prana,51.97,20,0.0,0,clothing,shirts-and-tops,2020-10-20
The North Face North Dome Short Sleeve Shirt - Men's,The North Face,44.93,50,5.0,1,clothing,shirts-and-tops,2020-10-20
Brooks Ghost Short Sleeve T-Shirt - Men's,Brooks,39.95,0,3.9,15,clothing,shirts-and-tops,2020-10-20
MEC Core Train Tank - Men's,MEC,39.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Vuori Ease Performance Half Zip Top - Men's,Vuori,93.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Patagonia Sol Patrol II Long Sleeve Shirt - Men's,Patagonia,99.00,0,4.6,5,clothing,shirts-and-tops,2020-10-20
Fjallraven 1960 Logo Tee - Men's,Fjallraven,49.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Patagonia Cap Cool Trail Bike Henley - Men's,Patagonia,48.30,30,0.0,0,clothing,shirts-and-tops,2020-10-20
Patagonia Capilene Cool Daily Long Sleeve Graphic T-Shirt - Men's,Patagonia,69.00,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Patagonia How to Help Organic T-Shirt - Men's,Patagonia,45.00,0,0.0,0,clothing,shirts-and-tops,2020-10-20
NRS Hydroskin 0.5mm Jacket - Men's,NRS,152.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Patagonia Back Step Shirt - Men's,Patagonia,85.00,0,5.0,1,clothing,shirts-and-tops,2020-10-20
Patagonia Organic Cotton Slub Poplin Shirt - Men's,Patagonia,75.00,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Arc'teryx Cormac Short Sleeve Crew - Men's,Arc'teryx,79.95,0,4.6,32,clothing,shirts-and-tops,2020-10-20
Arc'teryx Remige Word Short Sleeve Shirt - Men's,Arc'teryx,64.95,0,3.8,4,clothing,shirts-and-tops,2020-10-20
The North Face HyperLayer FD Short Sleeve Crew - Men's,The North Face,39.97,20,0.0,0,clothing,shirts-and-tops,2020-10-20
Patagonia Insulated Fjord Flannel Jacket - Men's,Patagonia,209.00,30,0.0,0,clothing,shirts-and-tops,2020-10-20
Brooks Stealth Short Sleeve T-Shirt - Men's,Brooks,45.95,0,4.2,13,clothing,shirts-and-tops,2020-10-20
Patagonia Organic Cotton Lightweight Polo - Men's,Patagonia,75.00,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Black Diamond Live Climb Repeat T-Shirt - Men's,Black Diamond,24.94,36,0.0,0,clothing,shirts-and-tops,2020-10-20
The North Face Fort Point Flannel Shirt - Men's,The North Face,159.99,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Fjallraven Abisko Trekking Shirt - Men's,Fjallraven,144.95,0,5.0,1,clothing,shirts-and-tops,2020-10-20
Prana Prevailor Tank - Men's,Prana,39.94,33,0.0,0,clothing,shirts-and-tops,2020-10-20
Black Diamond Chalked Up Tank - Men's,Black Diamond,34.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
The North Face Active Trail Henley Long Sleeve Shirt - Men's,The North Face,84.99,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Prana Cayman Shirt - Men's,Prana,63.97,20,5.0,2,clothing,shirts-and-tops,2020-10-20
Vuori Tradewind Performance T-Shirt - Men's,Vuori,60.00,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Pearl Izumi Rove Long Sleeve Shirt - Men's,Pearl Izumi,139.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Patagonia Tools For Revolution Responsibili T-Shirt - Men's,Patagonia,45.00,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Pearl Izumi Rove Shirt - Men's,Pearl Izumi,99.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Smartwool Merino Sport 150 Polo - Men's,Smartwool,99.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Tentree Cotton Short Sleeve Button Up Shirt - Men's,Tentree,73.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Houdini Long Sleeve Cover Crew - Men's,Houdini,89.93,36,0.0,0,clothing,shirts-and-tops,2020-10-20
Prana Calder Short Sleeve Top - Men's,Prana,59.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
Vuori Tuvalu T-Shirt - Men's,Vuori,55.95,0,0.0,0,clothing,shirts-and-tops,2020-10-20
,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
Patagonia Lightweight Synchilla Snap-Tee Pullover - Men's,Patagonia,149.00,0,5.0,3,clothing,fleece-hoodies-and-sweaters,2020-10-20
Cotopaxi Dorado Half Zip Fleece - Men's,Cotopaxi,129.95,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Fjallraven Ovik Round Neck Sweater - Men's,Fjallraven,174.95,0,5.0,1,clothing,fleece-hoodies-and-sweaters,2020-10-20
Patagonia Better Sweater Jacket - Men's,Patagonia,169.00,0,3.3,7,clothing,fleece-hoodies-and-sweaters,2020-10-20
Patagonia Better Sweater 1/4 Zip - Men's,Patagonia,149.00,0,4.5,4,clothing,fleece-hoodies-and-sweaters,2020-10-20
Kuhl Interceptr Jacket - Men's,Kuhl,78.38,44,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Arc'teryx Covert 1/2 Zip Pullover - Men's,Arc'teryx,179.95,0,4.4,18,clothing,fleece-hoodies-and-sweaters,2020-10-20
Arc'teryx Covert Cardigan - Men's,Arc'teryx,199.95,0,4.1,83,clothing,fleece-hoodies-and-sweaters,2020-10-20
MEC Prospect Fleece Jacket - Men's,MEC,114.95,0,3.0,6,clothing,fleece-hoodies-and-sweaters,2020-10-20
MEC Rockwall Half Zip Midlayer - Men's,MEC,89.95,0,4.0,2,clothing,fleece-hoodies-and-sweaters,2020-10-20
Arc'teryx Delta LT Jacket - Men's,Arc'teryx,149.95,0,4.4,84,clothing,fleece-hoodies-and-sweaters,2020-10-20
Tentree Oberon Hoodie - Men's,Tentree,87.95,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
MEC In-Flight Crew Neck - Men's,MEC,74.95,30,4.0,2,clothing,fleece-hoodies-and-sweaters,2020-10-20
MEC Prospect Fleece Pullover - Men's,MEC,94.95,0,5.0,1,clothing,fleece-hoodies-and-sweaters,2020-10-20
MEC Rockwall Midlayer - Men's,MEC,99.95,0,4.4,11,clothing,fleece-hoodies-and-sweaters,2020-10-20
Fjallraven Vardag Sweater - Men's,Fjallraven,94.95,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Fjallraven Lada Sweater - Men's,Fjallraven,189.95,0,5.0,1,clothing,fleece-hoodies-and-sweaters,2020-10-20
Tentree Juniper Classic Hoodie - Men's,Tentree,77.95,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
MEC In-Flight Hoodie - Men's,MEC,94.95,30,3.5,2,clothing,fleece-hoodies-and-sweaters,2020-10-20
Arc'teryx Covert Hoody - Men's,Arc'teryx,219.95,0,4.5,46,clothing,fleece-hoodies-and-sweaters,2020-10-20
Kuhl Revel 1/4 Zip - Men's,Kuhl,99.95,0,5.0,1,clothing,fleece-hoodies-and-sweaters,2020-10-20
Patagonia Micro D Snap-T Pullover - Men's,Patagonia,109.00,0,5.0,1,clothing,fleece-hoodies-and-sweaters,2020-10-20
Patagonia R1 Pullover Hoody - Men's,Patagonia,199.00,0,5.0,1,clothing,fleece-hoodies-and-sweaters,2020-10-20
Houdini Outright Houdi - Men's,Houdini,149.94,44,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Fjallraven Abisko Trail Fleece - Men's,Fjallraven,179.95,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Fjallraven High Coast Lite Sweater - Men's,Fjallraven,119.95,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Arc'teryx Solano Hoody - Men's,Arc'teryx,189.94,32,4.0,13,clothing,fleece-hoodies-and-sweaters,2020-10-20
Vuori Ponto Performance Pullover - Men's,Vuori,135.95,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Patagonia Recycled Wool Sweater - Men's,Patagonia,159.00,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Rab Nexus Jacket - Men's,Rab,139.95,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Patagonia Cotton Quilt Snap-T Pullover - Men's,Patagonia,189.00,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
The North Face Tekno Ridge Hoodie - Men's,The North Face,99.93,38,4.0,1,clothing,fleece-hoodies-and-sweaters,2020-10-20
Picture Shari Tech Hoodie - Men's,Picture,144.95,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Patagonia Diamond Quilted Bomber Hoody - Men's,Patagonia,209.00,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Cotopaxi Do Good Long Sleeve Crew - Men's,Cotopaxi,79.95,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Mammut Aconcagua Midlayer Jacket - Men's,Mammut,153.27,30,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Houdini Power Houdi - Men's,Houdini,139.93,53,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Patagonia Woolyester Fleece Jacket - Men's,Patagonia,179.00,0,5.0,1,clothing,fleece-hoodies-and-sweaters,2020-10-20
Patagonia R1 Pullover - Men's,Patagonia,159.00,0,5.0,1,clothing,fleece-hoodies-and-sweaters,2020-10-20
Patagonia R2 TechFace Jacket - Men's,Patagonia,209.00,0,5.0,1,clothing,fleece-hoodies-and-sweaters,2020-10-20
Picture Larson Tech Hoodie - Men's,Picture,149.95,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
Picture Newport Hoodie - Men's,Picture,114.95,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
The North Face Mountain Pullover Sweatshirt - Men's,The North Face,169.99,0,0.0,0,clothing,fleece-hoodies-and-sweaters,2020-10-20
,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
Black Diamond Mercury Mitts - Men's,Black Diamond,124.95,0,4.0,27,clothing,clothing-accessories,2020-10-20
MEC Surprise Mitts - Men's,MEC,39.95,0,3.3,6,clothing,clothing-accessories,2020-10-20
MEC Surprise Gloves 2019 - Men's,MEC,39.95,0,4.7,6,clothing,clothing-accessories,2020-10-20
Black Diamond Guide Gloves - Men's,Black Diamond,194.95,0,4.0,27,clothing,clothing-accessories,2020-10-20
Auclair Abner Double Knit Gloves - Men's,Auclair,19.95,0,1.0,1,clothing,clothing-accessories,2020-10-20
Castelli Lightness 2 Gloves - Men's,Castelli,49.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Auclair Run For Cover Gloves - Men's,Auclair,24.95,0,3.0,1,clothing,clothing-accessories,2020-10-20
Chaos Dylan Trapper Hat - Men's,Chaos,34.95,0,4.2,13,clothing,clothing-accessories,2020-10-20
Swany Gore Winterfall Gloves - Men's,Swany,119.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Kombi P1 Liner Glove - Men's,Kombi,19.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Swany Gore Winterfall Mitts - Men's,Swany,119.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Smartwool Spruce Street Crew Socks - Men's,Smartwool,26.95,0,4.8,24,clothing,clothing-accessories,2020-10-20
Patagonia Fitz Roy Bear Trucker Hat - Men's,Patagonia,35.00,0,5.0,1,clothing,clothing-accessories,2020-10-20
Stance Polycam Crew Run Socks - Men's,Stance,19.94,31,0.0,0,clothing,clothing-accessories,2020-10-20
Patagonia P-6 Logo Trucker Hat - Men's,Patagonia,31.50,30,3.2,5,clothing,clothing-accessories,2020-10-20
Auclair Pacer Run Gloves - Men's,Auclair,29.95,0,1.0,1,clothing,clothing-accessories,2020-10-20
The North Face Montana Futurelight Etip Gloves - Men's,The North Face,89.99,0,5.0,2,clothing,clothing-accessories,2020-10-20
Kombi P3 Touch Screen Liner Glove - Men's,Kombi,29.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Kombi P2 Blend Merino Liner Glove - Men's,Kombi,21.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Ear Podz Buffalo Plaid Earwarmer - Men's,Ear Podz,19.00,0,0.0,0,clothing,clothing-accessories,2020-10-20
Stance Jimmy Chin Altitude Hike Crew Socks - Men's,Stance,35.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Kombi Timeless Gloves - Men's,Kombi,94.95,0,2.0,5,clothing,clothing-accessories,2020-10-20
Auclair Avalon Ragwool Flip Mitts - Men's,Auclair,34.95,0,3.8,9,clothing,clothing-accessories,2020-10-20
Lenz Heat Gloves 4.0 (Batteries Sold Separately) - Men's,Lenz,289.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Sportful Ride 15 Socks - Men's,Sportful,29.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Stance Combat Crew Socks - Men's,Stance,22.50,0,0.0,0,clothing,clothing-accessories,2020-10-20
Pistil Dusk Cap - Men's,Pistil,34.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Prana Journeyman Trucker Hat - Men's,Prana,39.00,23,4.3,3,clothing,clothing-accessories,2020-10-20
Kombi The Timber Glove - Men's,Kombi,49.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Kombi Re-Knit Liner Glove - Men's,Kombi,34.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Chaos Bill Scarf - Men's,Chaos,20.93,46,0.0,0,clothing,clothing-accessories,2020-10-20
Wigwam Peak to Pub Gift Box - Men's,Wigwam,48.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Stance Conflicted Quarter Run Socks - Men's,Stance,28.95,0,5.0,1,clothing,clothing-accessories,2020-10-20
Black Diamond Super Light Mitts - Men's,Black Diamond,199.95,0,4.5,2,clothing,clothing-accessories,2020-10-20
Pistil Barlow Scarf - Men's,Pistil,39.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Kombi The Concord Glove - Men's,Kombi,29.95,0,0.0,0,clothing,clothing-accessories,2020-10-20
Kombi Timeless Mitts - Men's,Kombi,94.95,0,2.5,6,clothing,clothing-accessories,2020-10-20
,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
MEC Peak Comfort AirGrid Lite Long Sleeve Base Layer - Men's,MEC,34.95,0,4.0,1,clothing,base-layers-and-underwear,2020-10-20
MEC All Day Essentials Merino Lite Long Sleeve Tee - Men's,MEC,69.95,0,3.6,5,clothing,base-layers-and-underwear,2020-10-20
MEC T3 Long Johns - Men's,MEC,44.95,0,3.7,25,clothing,base-layers-and-underwear,2020-10-20
Smartwool Merino 250 Baselayer Bottoms - Men's,Smartwool,129.95,0,0.0,0,clothing,base-layers-and-underwear,2020-10-20
Arc'teryx Motus AR Long Sleeve Zip Neck - Men's,Arc'teryx,99.95,0,5.0,2,clothing,base-layers-and-underwear,2020-10-20
MEC Merino T3 Long Johns - Men's,MEC,59.95,0,2.1,8,clothing,base-layers-and-underwear,2020-10-20
Smartwool Merino 150 Baselayer Long Sleeve Crew - Men's,Smartwool,109.95,0,5.0,1,clothing,base-layers-and-underwear,2020-10-20
MEC T2 Long Johns - Men's,MEC,34.95,0,3.7,6,clothing,base-layers-and-underwear,2020-10-20
Smartwool Merino 250 Baselayer Colorblock Long Sleeve Crew - Men's,Smartwool,139.95,0,0.0,0,clothing,base-layers-and-underwear,2020-10-20
MEC All Day Essentials Merino Lite T-Shirt - Men's,MEC,69.95,0,5.0,1,clothing,base-layers-and-underwear,2020-10-20
Patagonia Capilene Cool Trail Long Sleeve Shirt - Men's,Patagonia,59.00,0,5.0,1,clothing,base-layers-and-underwear,2020-10-20
MEC Peak Comfort AirGrid Lite Base Layer Bottoms - Men's,MEC,39.95,0,0.0,0,clothing,base-layers-and-underwear,2020-10-20
MEC Cold Rush Thermal Run Tights - Men's,MEC,84.95,0,5.0,1,clothing,base-layers-and-underwear,2020-10-20
MEC T1 Long Johns - Men's,MEC,24.95,0,4.2,8,clothing,base-layers-and-underwear,2020-10-20
Saxx Quest 2.0 Boxers - Men's,Saxx,34.95,0,4.8,12,clothing,base-layers-and-underwear,2020-10-20
"MEC All Day Essentials Boxer Briefs 3"" - Men's",MEC,24.95,0,5.0,2,clothing,base-layers-and-underwear,2020-10-20
BN3TH Classic Boxer Briefs - Men's,BN3TH,34.95,0,5.0,3,clothing,base-layers-and-underwear,2020-10-20
Smartwool Intraknit Merino 250 Thermal 1/4 Zip Top - Men's,Smartwool,189.95,0,0.0,0,clothing,base-layers-and-underwear,2020-10-20
Saxx Kinetic HD Boxer Brief - Men's,Saxx,39.95,0,0.0,0,clothing,base-layers-and-underwear,2020-10-20
MEC Peak Comfort AirGrid Lite Short Sleeve Base Layer - Men's,MEC,29.95,0,0.0,0,clothing,base-layers-and-underwear,2020-10-20
Smartwool Merino 150 Boxer Briefs - Men's,Smartwool,59.95,0,3.4,38,clothing,base-layers-and-underwear,2020-10-20
"Patagonia Essential 6"" Boxer Briefs - Men's",Patagonia,39.00,0,5.0,1,clothing,base-layers-and-underwear,2020-10-20
Smartwool Merino 150 Print Boxer Briefs - Men's,Smartwool,59.95,0,0.0,0,clothing,base-layers-and-underwear,2020-10-20
BN3TH Classic Boxer Briefs (2 Pack) - Men's,BN3TH,64.95,0,3.3,3,clothing,base-layers-and-underwear,2020-10-20
Patagonia Capilene Midweight Zip Neck Top - Men's,Patagonia,85.00,0,4.8,4,clothing,base-layers-and-underwear,2020-10-20
BN3TH Classic Trunks - Men's,BN3TH,34.95,0,0.0,0,clothing,base-layers-and-underwear,2020-10-20
MEC All Day Essentials Boxers - Men's,MEC,24.95,0,3.2,4,clothing,base-layers-and-underwear,2020-10-20
Smartwool Merino Sport 150 Briefs - Men's,Smartwool,34.95,0,3.0,4,clothing,base-layers-and-underwear,2020-10-20
BN3TH Hero Knit Boxer Brief - Men's,BN3TH,42.95,0,0.0,0,clothing,base-layers-and-underwear,2020-10-20
"MEC All Day Essentials Boxer Briefs 5"" - Men's",MEC,24.95,0,3.0,2,clothing,base-layers-and-underwear,2020-10-20
Smartwool Merino Sport 150 Boxer Briefs - Men's,Smartwool,44.95,0,0.0,0,clothing,base-layers-and-underwear,2020-10-20
Patagonia Sender Boxers - Men's,Patagonia,35.00,0,3.0,1,clothing,base-layers-and-underwear,2020-10-20
Patagonia Capilene Air Crew - Men's,Patagonia,159.00,0,5.0,2,clothing,base-layers-and-underwear,2020-10-20
Smartwool Merino 150 Baselayer Short Sleeve - Men's,Smartwool,94.95,0,0.0,0,clothing,base-layers-and-underwear,2020-10-20
Odlo Performance Light Crew Neck Short Sleeve Baselayer - Men's,Odlo,31.93,54,0.0,0,clothing,base-layers-and-underwear,2020-10-20
MEC Merino T2 Long Johns - Men's,MEC,59.95,0,1.7,18,clothing,base-layers-and-underwear,2020-10-20
,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
Xcel Ventx Heather Long Sleeve - Men's,Xcel,41.94,30,4.7,3,clothing,swimwear,2020-10-20
Phelps Pursuit 2.0 Triathlon Wetsuit - Men's,Phelps,299.95,0,3.0,1,clothing,swimwear,2020-10-20
Xcel Signature Ventx Long Sleeve - Men's,Xcel,37.94,31,4.5,4,clothing,swimwear,2020-10-20
MEC Mica 2 Shorts - Men's,MEC,69.95,51,3.6,8,clothing,swimwear,2020-10-20
Billabong Surftrek Wick Shorts - Men's,Billabong,41.93,40,4.5,4,clothing,swimwear,2020-10-20
NRS Hydroskin 0.5mm Long Sleeve Shirt - Men's,NRS,132.95,0,0.0,0,clothing,swimwear,2020-10-20
Prana Calder Long Sleeve Top - Men's,Prana,48.94,30,5.0,1,clothing,swimwear,2020-10-20
Xcel Heathered VentX Island Tapa Band Long Sleeve - Men's,Xcel,41.94,30,0.0,0,clothing,swimwear,2020-10-20
NRS Hydroskin 0.5mm Jacket - Men's,NRS,152.95,0,0.0,0,clothing,swimwear,2020-10-20
