,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
Arc'teryx Atom SL Hoody - Men's,Arc'teryx,179.94,31,4.7,99,clothing,jackets,2020-10-20
Rab Kaon Jacket - Men's,Rab,299.95,0,5.0,1,clothing,jackets,2020-10-20
Fjallraven Greenland No.1 Special Edition Jacket - Men's,Fjallraven,349.95,0,5.0,1,clothing,jackets,2020-10-20
The North Face ThermoBall Pullover - Men's,The North Face,259.99,0,5.0,1,clothing,jackets,2020-10-20
Patagonia Micro Puff Jacket - Men's,Patagonia,315.00,30,4.2,4,clothing,jackets,2020-10-20
The North Face Essential 1/4 Zip Top - Men's,The North Face,39.93,43,4.0,1,clothing,jackets,2020-10-20
Showers Pass IMBA Jacket - Men's,Showers Pass,249.95,0,4.7,24,clothing,jackets,2020-10-20
Arc'teryx Norvan SL Insulated Gore-Tex Hoody - Men's,Arc'teryx,549.95,0,4.3,22,clothing,jackets,2020-10-20
Arc'teryx Incendo SL Jacket - Men's,Arc'teryx,111.94,30,4.4,12,clothing,jackets,2020-10-20
The North Face 1996 Retro Nuptse Jacket - Men's,The North Face,349.99,0,5.0,1,clothing,jackets,2020-10-20
Patagonia Woolyester Fleece Jacket - Men's,Patagonia,179.00,0,5.0,1,clothing,jackets,2020-10-20
Fjallraven Raven Jacket - Men's,Fjallraven,274.95,0,5.0,1,clothing,jackets,2020-10-20
Patagonia R1 Pullover - Men's,Patagonia,159.00,0,5.0,1,clothing,jackets,2020-10-20
Patagonia R2 TechFace Jacket - Men's,Patagonia,209.00,0,5.0,1,clothing,jackets,2020-10-20
Patagonia Lone Mountain 3-in-1 Jacket - Men's,Patagonia,475.00,30,0.0,0,clothing,jackets,2020-10-20
Kuhl Interceptr Jacket - Men's,Kuhl,78.38,44,0.0,0,clothing,jackets,2020-10-20
Showers Pass Transit Jacket CC - Men's,Showers Pass,199.95,0,3.7,15,clothing,jackets,2020-10-20
Patagonia Topley Jacket - Men's,Patagonia,499.00,0,3.6,8,clothing,jackets,2020-10-20
MEC Prospect Fleece Jacket - Men's,MEC,114.95,0,3.0,6,clothing,jackets,2020-10-20
The North Face Thermoball Eco Snow Triclimate Jacket - Men's,The North Face,459.99,0,0.0,0,clothing,jackets,2020-10-20
MEC Trax Nordic Soft Shell Jacket - Men's,MEC,144.95,0,3.7,3,clothing,jackets,2020-10-20
Patagonia Tres 3-in-1 Parka - Men's,Patagonia,749.00,30,3.0,2,clothing,jackets,2020-10-20
MEC Aura Vest - Men's,MEC,99.95,0,0.0,0,clothing,jackets,2020-10-20
Showers Pass Syncline CC Jacket - Men's,Showers Pass,169.95,0,2.5,2,clothing,jackets,2020-10-20
Fjallraven Raven Lite Jacket - Men's,Fjallraven,167.93,40,3.0,1,clothing,jackets,2020-10-20
The North Face Mountain Sweatshirt Hoodie 3.0 - Men's,The North Face,95.93,52,0.0,0,clothing,jackets,2020-10-20
MEC Trax Nordic Soft Shell Vest - Men's,MEC,99.95,35,0.0,0,clothing,jackets,2020-10-20
Patagonia Reversible Bivy Down Vest - Men's,Patagonia,249.00,0,0.0,0,clothing,jackets,2020-10-20
MEC Northlink Parka - Men's,MEC,229.95,0,0.0,0,clothing,jackets,2020-10-20
Baro Drywear The Manning Jacket - Men's,Baro Drywear,347.95,0,0.0,0,clothing,jackets,2020-10-20
Patagonia Silent Down Shirt - Men's,Patagonia,285.00,30,0.0,0,clothing,jackets,2020-10-20
Patagonia 3-in-1 Snowshot Jacket - Men's,Patagonia,349.30,30,3.0,2,clothing,jackets,2020-10-20
Fjallraven Expedition Pack Down Hoodie - Men's,Fjallraven,349.95,0,0.0,0,clothing,jackets,2020-10-20
MEC Transference Reversible Down Jacket - Men's,MEC,79.98,68,3.3,7,clothing,jackets,2020-10-20
The North Face Mountain Sweatshirt 3.0 Anorak - Men's,The North Face,86.93,49,0.0,0,clothing,jackets,2020-10-20
The North Face Flight Futurelight Jacket - Men's,The North Face,303.97,20,0.0,0,clothing,jackets,2020-10-20
The North Face Arque Jacket - Men's,The North Face,299.99,0,0.0,0,clothing,jackets,2020-10-20
Houdini Outright Houdi - Men's,Houdini,149.94,44,0.0,0,clothing,jackets,2020-10-20
Sportful Reflex Jacket - Men's,Sportful,69.95,0,2.2,6,clothing,jackets,2020-10-20
Smartwool Smartloft 120 Jacket - Men's,Smartwool,153.57,36,0.0,0,clothing,jackets,2020-10-20
Fjallraven Abisko Trail Fleece - Men's,Fjallraven,179.95,0,0.0,0,clothing,jackets,2020-10-20
The North Face Temescal Travel Jacket - Men's,The North Face,79.94,50,0.0,0,clothing,jackets,2020-10-20
Patagonia Pack In Jacket - Men's,Patagonia,157.50,30,0.0,0,clothing,jackets,2020-10-20
The North Face Cuchillo Insulated Vest - Men's,The North Face,169.99,0,3.0,1,clothing,jackets,2020-10-20
