,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Osprey Poco Child Carrier - Kids’ - Infants,Osprey,399.95,0,5,1,camping-and-hiking,2020-10-17
Primus 230 Butane/Propane Canister,Primus,5.95,0,4.5,4,camping-and-hiking,2020-10-17
MEC Alpine Ally Pants - Men's,MEC,189.95,0,4,9,camping-and-hiking,2020-10-17
MEC Mochilero Stretch Pants - Men's,MEC,79.95,0,3.8,9,camping-and-hiking,2020-10-17
MEC Terrena Stretch Pants - Women's,MEC,79.95,0,4.8,13,camping-and-hiking,2020-10-17
Yeti Rambler 10 Wine Tumbler,Yeti,35,0,4.8,3744,camping-and-hiking,2020-10-17
Zamberlan 320 Trail Lite Evo Gore-Tex Hiking Boots - Women's,Zamberlan,269.95,0,4.1,11,camping-and-hiking,2020-10-17
MEC Borderland Pants - Men's,MEC,99.95,50,4.8,4,camping-and-hiking,2020-10-17
Patagonia Better Sweater 1/4 Zip - Men's,Patagonia,149,0,4.5,4,camping-and-hiking,2020-10-17
Salomon X Ultra 3 Gore-Tex Light Trail Shoes - Women's,Salomon,179.95,0,4.3,56,camping-and-hiking,2020-10-17
Scarpa Kailash Trek Gore-Tex Hiking Boots - Men's,Scarpa,299.95,0,4.5,10,camping-and-hiking,2020-10-17
Keen Pyrenees Hiking Boots - Women's,Keen,219.95,0,3.7,14,camping-and-hiking,2020-10-17
Salomon Outbound Gore-Tex Light Trail Shoes - Men's,Salomon,139.95,0,4,40,camping-and-hiking,2020-10-17
MEC Boundary Light Down Jacket - Women's,MEC,189.95,0,4,5,camping-and-hiking,2020-10-17
Scarpa Kailash Plus Gore-Tex Backpacking Boots - Women's,Scarpa,339.95,0,4.6,9,camping-and-hiking,2020-10-17
Arc'teryx Covert 1/2 Zip Pullover - Men's,Arc'teryx,179.95,0,4.4,18,camping-and-hiking,2020-10-17
Oboz Sawtooth II Low B-Dry Waterproof Light Trail - Men's,Oboz,179.95,0,3.8,4,camping-and-hiking,2020-10-17
Salomon X Ultra Mid 3 Gore-Tex Light Trail Shoes - Men's,Salomon,199.95,0,4.3,178,camping-and-hiking,2020-10-17
Oboz Juniper Mid B-Dry Waterproof Light Trail Shoes - Women's,Oboz,189.95,0,3.8,11,camping-and-hiking,2020-10-17
Salomon Quest 4D 3 Gore-Tex Hiking Boots - Women's,Salomon,289.95,0,4.4,49,camping-and-hiking,2020-10-17
MEC Tremblant Jacket - Men's,MEC,229.95,0,4.5,40,camping-and-hiking,2020-10-17
Patagonia Torrentshell 3 Layer Jacket - Women's,Patagonia,189,0,2.8,5,camping-and-hiking,2020-10-17
MEC Rockwall Midlayer - Women's,MEC,99.95,0,5,11,camping-and-hiking,2020-10-17
Frontiersman Bear Spray 1% 225g Canister,Frontiersman,39.95,0,4.4,19,camping-and-hiking,2020-10-17
MEC Draco -9C Down Sleeping Bag - Men's,MEC,279.95,0,4.1,7,camping-and-hiking,2020-10-17
Scarpa Kailash Plus Gore-Tex Backpacking Boots - Men's,Scarpa,339.95,0,4.5,13,camping-and-hiking,2020-10-17
Garmin inReach SE+,Garmin,449.99,0,3.1,9,camping-and-hiking,2020-10-17
Nikwax Tech Wash and TX.Direct Kit,Nikwax,25.95,0,3.5,6,camping-and-hiking,2020-10-17
Coal The Pleated Face Mask - Unisex,Coal,19.95,0,3,2,camping-and-hiking,2020-10-17
MEC Boundary Light Down Jacket - Men's,MEC,189.95,0,4.4,8,camping-and-hiking,2020-10-17
Scarpa Moraine Mid Gore-Tex Light Trail Shoes - Women's,Scarpa,229.95,0,4.4,65,camping-and-hiking,2020-10-17
Kuhl Interceptr Jacket - Men's,Kuhl,78.38,44,0,0,camping-and-hiking,2020-10-17
Arc'teryx Beta SL Hybrid Gore-Tex Jacket - Men's,Arc'teryx,499.95,0,4.2,52,camping-and-hiking,2020-10-17
Arc'teryx Beta SL Hybrid Gore-Tex Jacket - Women's,Arc'teryx,499.95,0,3.7,21,camping-and-hiking,2020-10-17
Black Diamond Spot 350 Headlamp,Black Diamond,49.95,0,4.2,12,camping-and-hiking,2020-10-17
Smartwool Merino 250 Baselayer 1/4 Zip Long Sleeve Top - Women's,Smartwool,149.95,0,0,0,camping-and-hiking,2020-10-17
Yeti Rambler 18 Vacuum Bottle,Yeti,29.99,25,4.8,1998,camping-and-hiking,2020-10-17
MEC VectAir Insulated Sleeping Pad - Unisex,MEC,109.95,0,4.3,51,camping-and-hiking,2020-10-17
MEC Camper 3-Person Tent,MEC,289.95,0,4.7,20,camping-and-hiking,2020-10-17
Yeti Rambler 14 Mug,Yeti,35,0,4.5,3082,camping-and-hiking,2020-10-17
Oboz Sapphire Mid Bdry Light Trail Shoes - Women's,Oboz,199.95,0,4,11,camping-and-hiking,2020-10-17
MEC All Day Essentials Merino Lite Long Sleeve Tee - Men's,MEC,69.95,0,3.6,5,camping-and-hiking,2020-10-17
Zamberlan 309 Trail Lite Gore-Tex Hiking Boots - Men's,Zamberlan,249.95,0,5,9,camping-and-hiking,2020-10-17
Keen Targhee III Low Waterproof Light Trail Shoes - Men's,Keen,179.95,0,3.7,6,camping-and-hiking,2020-10-17
Black Diamond Distance Carbon Z Poles - Unisex,Black Diamond,189.96,0,4.6,90,camping-and-hiking,2020-10-17
Petzl Swift RL Lamp,Petzl,159.95,0,4.2,4,camping-and-hiking,2020-10-17
MEC Teslin Zip Sweater - Women's,MEC,89.95,50,3.5,15,camping-and-hiking,2020-10-17
Keen Pyrenees Hiking Boots - Men's,Keen,219.95,60,3.8,10,camping-and-hiking,2020-10-17
Salomon OUTline Gore-Tex Trail Shoes - Men's,Salomon,159.95,0,4.5,26,camping-and-hiking,2020-10-17
Yeti Rambler 10 Lowball,Yeti,25,0,4.7,2529,camping-and-hiking,2020-10-17
Kahtoola MICROspikes Traction Device - Unisex,Kahtoola,84.95,0,4.6,218,camping-and-hiking,2020-10-17
Oboz Sypes Mid Leather B-Dry Hiking Shoes - Women's,Oboz,209.95,0,0,0,camping-and-hiking,2020-10-17
Primus 450 Butane/Propane Canister,Primus,9.95,0,4.6,7,camping-and-hiking,2020-10-17
