,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Patagonia Tres 3-in-1 Parka - Men's,Patagonia,749,30,3,2,clothing,2020-10-17
Patagonia Micro Puff Hoody - Men's,Patagonia,375,0,5,5,clothing,2020-10-17
Fjallraven Raven Lite Jacket - Men's,Fjallraven,167.93,40,3,1,clothing,2020-10-17
Tentree Oberon Hoodie - Men's,Tentree,87.95,0,0,0,clothing,2020-10-17
Patagonia Fjord Lightweight Flannel Shirt - Men's,Patagonia,99,0,4,3,clothing,2020-10-17
MEC Transfer Reflect Pants - Men's,MEC,79.95,0,4.6,7,clothing,2020-10-17
MEC All Day Essentials Merino Lite T-Shirt - Men's,MEC,69.95,0,5,1,clothing,2020-10-17
MEC Rockwall Half Zip Midlayer - Men's,MEC,89.95,0,4,2,clothing,2020-10-17
Smartwool Merino 150 Baselayer Long Sleeve Crew - Men's,Smartwool,109.95,0,5,1,clothing,2020-10-17
The North Face Thermoball Eco Snow Triclimate Jacket - Men's,The North Face,459.99,0,0,0,clothing,2020-10-17
Fjallraven High Coast Trousers Zip Off - Men's,Fjallraven,104.94,40,0,0,clothing,2020-10-17
Fjallraven Sten Jacket - Men's,Fjallraven,239.95,0,4,2,clothing,2020-10-17
Arc'teryx Delta LT Jacket - Men's,Arc'teryx,149.95,0,4.4,84,clothing,2020-10-17
Arc'teryx Motus AR Long Sleeve Zip Neck - Men's,Arc'teryx,99.95,0,5,2,clothing,2020-10-17
MEC Mica 2 Pants - Men's,MEC,74.95,0,3.1,33,clothing,2020-10-17
Tentree Atlas Sweat Pants - Men's,Tentree,77.95,0,4,2,clothing,2020-10-17
MEC Rural Camp Pants - Men's,MEC,79.95,0,4.5,4,clothing,2020-10-17
Patagonia Reversible Bivy Down Vest - Men's,Patagonia,249,0,0,0,clothing,2020-10-17
Showers Pass Syncline CC Jacket - Men's,Showers Pass,169.95,0,2.5,2,clothing,2020-10-17
MEC Merino T3 Long Johns - Men's,MEC,59.95,0,2.1,8,clothing,2020-10-17
Brooks Spartan Pants - Men's,Brooks,74.95,0,4.1,10,clothing,2020-10-17
Patagonia Jackson Glacier Jacket - Men's,Patagonia,435,0,4,1,clothing,2020-10-17
