,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
MEC Heritage Rain Pants - Infants,MEC,19.94,33,0,0,kids,2020-10-17
MEC Stratosphere Bottoms - Youths,MEC,29.95,0,3.6,9,kids,2020-10-17
Kombi Animal Family Mitts - Children,Kombi,34.95,0,3.3,9,kids,2020-10-17
MEC Midweight Underwear Long Johns - Children,MEC,27.95,0,4.9,14,kids,2020-10-17
Stasher Reusable Sandwich Bag,Stasher,14.95,0,4.9,823,kids,2020-10-17
MEC Yeti Pants - Children,MEC,39.95,0,5,13,kids,2020-10-17
MEC Double Fleece Mitts - Children to Youths,MEC,15.95,0,4.2,9,kids,2020-10-17
MEC Stratosphere Crew - Youths,MEC,32.95,52,5,6,kids,2020-10-17
MEC Brume Reversible Jacket - Children,MEC,69.95,0,4.3,6,kids,2020-10-17
MEC Formula Book Bag - Unisex,MEC,35.93,20,4.1,7,kids,2020-10-17
Baffin Young Eiger Winter Boots - Children to Youths,Baffin,99.95,0,4.4,8,kids,2020-10-17
Reima Myytti Fleece Overall - Infants to Children,Reima,64.95,0,0,0,kids,2020-10-17
MEC Movement Joggers - Girls' - Youths,MEC,26.94,40,5,1,kids,2020-10-17
Kombi Animal Family Hat - Children,Kombi,28.95,60,5,3,kids,2020-10-17
Burley Encore X Child Trailer - Infants to Children,Burley,799.95,0,4.8,61,kids,2020-10-17
Timbuk2 Rogue Backpack - Unisex,Timbuk2,59.94,29,4.3,174,kids,2020-10-17
MEC Long Cozy Aquanator Jacket - Children,MEC,94.95,0,4,3,kids,2020-10-17
MEC Wanderlust Tights - Girls' - Youths,MEC,26.94,40,5,1,kids,2020-10-17
MEC Toasty Mitts - Infants,MEC,16.95,44,3.8,6,kids,2020-10-17
MEC Bundle Up Reversible Jacket - Infants,MEC,49.95,0,5,3,kids,2020-10-17
Gordini Ultra Dri-Max Gauntlet IV Mitts Junior - Children to Youths,Gordini,27.95,0,3.3,22,kids,2020-10-17
Kamik Snowfall Boots - Children to Youths,Kamik,79.95,0,0,0,kids,2020-10-17
MEC Mid Weight Underwear Crew - Youths,MEC,34.95,0,0,0,kids,2020-10-17
Salomon Speedcross Shoes - Children to Youths,Salomon,84.95,0,4.2,13,kids,2020-10-17
Kombi Original Mitts - Children,Kombi,34.95,0,2.3,3,kids,2020-10-17
The North Face Freedom Insulated Pants - Boys' - Youths,The North Face,103.97,20,0,0,kids,2020-10-17
MEC Besnow Long Jacket - Girls' - Youths,MEC,79.18,52,0,0,kids,2020-10-17
Timberland Mt Maddsen Waterproof Mid Boots - Children to Youths,Timberland,79.95,0,4.2,34,kids,2020-10-17
Sorel Yoot Pac Nylon Winter Boots - Youths,Sorel,99.95,0,4.9,44,kids,2020-10-17
Smartwool Wintersport Yo Yetti Socks - Children to Youths,Smartwool,21.95,0,3,1,kids,2020-10-17
Keen Targhee Low Waterproof Shoes - Youths,Keen,84.95,0,2.3,3,kids,2020-10-17
The North Face Alpenglow II Winter Boots - Children,The North Face,64.99,0,4.5,2,kids,2020-10-17
Crocs Crocband Clog - Children to Youths,Crocs,37.95,0,4.6,1188,kids,2020-10-17
Patagonia Snow Pile Bibs - Children,Patagonia,159,0,0,0,kids,2020-10-17
Patagonia Reversible Down Sweater Hoody - Infants to Children,Patagonia,149,0,3.5,2,kids,2020-10-17
Kombi Graceful Mitts - Children,Kombi,24.95,0,5,1,kids,2020-10-17
Deuter Kid Comfort Active SL - Infants,Deuter,359.95,0,5,11,kids,2020-10-17
Kombi Brave Socks (Twin Pack) - Children to Youths,Kombi,29.95,0,0,0,kids,2020-10-17
MEC Toaster Booties - Infants to Children,MEC,34.95,0,3.6,34,kids,2020-10-17
The North Face Freedom Insulated Bib - Youths,The North Face,135.97,20,0,0,kids,2020-10-17
Kombi Triple Axel Junior Gloves - Children,Kombi,49.95,0,5,1,kids,2020-10-17
MEC Explorer Stretch Pants - Children,MEC,27.97,30,3.8,5,kids,2020-10-17
Patagonia Snowshot Jacket - Boys' - Youths,Patagonia,249,0,0,0,kids,2020-10-17
Reima Northern Fleece Sweater - Children to Youths,Reima,74.95,0,0,0,kids,2020-10-17
MEC Bear Cub Hat - Infants to Children,MEC,18.95,0,3.5,8,kids,2020-10-17
MEC Eyas Daypack - Children to Youths,MEC,49.95,0,3.4,12,kids,2020-10-17
Thule Urban Glide 2 Stroller - Infants to Children,Thule,599.95,0,4.5,4,kids,2020-10-17
MEC Fleece Toque - Infants to Youths,MEC,14.95,0,5,3,kids,2020-10-17
MEC Long Toaster Parka - Children,MEC,149.95,0,3.6,7,kids,2020-10-17
Osprey Poco Plus Child Carrier - Kids’ - Infants,Osprey,459.95,0,0,0,kids,2020-10-17
MEC Tech Touch Gloves - Children to Youths,MEC,19.95,0,4.3,3,kids,2020-10-17
Patagonia Everyday Ready Jacket - Boys' - Youths,Patagonia,189,0,0,0,kids,2020-10-17
