,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Fjallraven Abisko Trekking Tights - Women's,Fjallraven,189.95,0,4.4,7,clothing,2020-10-17
MEC Aura Vest - Women's,MEC,99.95,0,0,0,clothing,2020-10-17
Prana Milani V-Neck Long Sleeve Top - Women's,Prana,79.97,20,0,0,clothing,2020-10-17
MEC All Day Essentials Long Sleeve T-Shirt - Women's,MEC,34.95,0,0,0,clothing,2020-10-17
Indygena Finola Rain Jacket - Women's,Indygena,299.95,0,0,0,clothing,2020-10-17
MPG Swift High Waisted Leggings - Women's,MPG,49.95,0,2,1,clothing,2020-10-17
Arc'teryx Rho LT Zip Neck - Women's,Arc'teryx,119.95,0,4.6,23,clothing,2020-10-17
MEC Equinox Windproof Cycle Jacket - Women's,MEC,99.95,0,0,0,clothing,2020-10-17
The North Face Paramount Active Mid-Rise Pants - Women's,The North Face,71.97,20,4.5,2,clothing,2020-10-17
Tentree Bamone Joggers - Women's,Tentree,71.95,0,3.5,6,clothing,2020-10-17
Arc'teryx Laina Cardigan - Women's,Arc'teryx,199.95,0,5,13,clothing,2020-10-17
Patagonia Tres 3-in-1 Parka - Women's,Patagonia,749,0,5,1,clothing,2020-10-17
MEC Voyager Reversible Sweater - Women's,MEC,89.95,0,0,0,clothing,2020-10-17
Prana Briann Pants - Women's,Prana,71.97,20,4.6,10,clothing,2020-10-17
MEC Short-Sleeve T-Shirt - Women's,MEC,17.95,0,4.2,45,clothing,2020-10-17
MEC Peak Comfort AirGrid Lite Short Sleeve Base Layer - Women's,MEC,29.95,47,2.5,2,clothing,2020-10-17
Patagonia Light Weight Synchilla Snap-T Pullover - Women's,Patagonia,149,0,4.4,5,clothing,2020-10-17
Prana Sky Canyon Joggers - Women's,Prana,83.97,20,4.5,2,clothing,2020-10-17
Arc'teryx Kyanite LT Hoody - Women's,Arc'teryx,179.95,0,4.5,4,clothing,2020-10-17
MEC Trax Nordic Soft Shell Jacket - Women's,MEC,144.95,44,5,1,clothing,2020-10-17
MEC Trailboost Merino Quarter Socks - Women's,MEC,14.95,0,5,2,clothing,2020-10-17
Patagonia Los Gatos Jacket - Women's,Patagonia,159,30,5,1,clothing,2020-10-17
Patagonia Barely Bra - Women's,Patagonia,59,0,4.5,18,clothing,2020-10-17
Patagonia Happy Hike Studio Pants - Women's,Patagonia,99,0,4.3,3,clothing,2020-10-17
MEC Trailboost Merino Crew Socks - Women's,MEC,14.95,0,4.7,3,clothing,2020-10-17
Smartwool Merino 150 Baselayer Long Sleeve - Women's,Smartwool,109.95,0,0,0,clothing,2020-10-17
"MEC Terrena Stretch 12"" Shorts - Women's",MEC,31.93,51,3.6,13,clothing,2020-10-17
Black Diamond Notion Pants - Women's,Black Diamond,94.95,0,4.3,29,clothing,2020-10-17
MEC Cold Rush Thermal Winter Tights - Women's,MEC,84.95,0,3,3,clothing,2020-10-17
Vuori Sequoia Pants - Women's,Vuori,57.93,50,5,3,clothing,2020-10-17
Patagonia Down Sweater Hoody - Women's,Patagonia,349,0,5,1,clothing,2020-10-17
MEC Core Train Long Sleeve T-Shirt - Women's,MEC,44.95,0,3.7,3,clothing,2020-10-17
Smartwool PhD Outdoor Light Crew Socks - Women's,Smartwool,28.95,0,4.7,66,clothing,2020-10-17
Tentree Acre Long Sleeve - Women's,Tentree,67.95,0,5,2,clothing,2020-10-17
Black Diamond Mercury Mitts - Women's,Black Diamond,124.95,0,4.5,4,clothing,2020-10-17
MEC All Day Essentials Merino Lite Mid Sleeve - Women's,MEC,59.95,0,4,3,clothing,2020-10-17
Arc'teryx Rho LT Bottoms - Women's,Arc'teryx,99.95,0,4.5,17,clothing,2020-10-17
Darn Tough Hiker Cushion 1/4 Socks - Women's,Darn Tough,24.95,0,4.8,6,clothing,2020-10-17
Tentree Juniper Classic Hoodie - Women's,Tentree,77.95,0,4.2,4,clothing,2020-10-17
MEC Peak Comfort Merino Warm Long Sleeve Baselayer - Women's,MEC,99.95,0,0,0,clothing,2020-10-17
Darn Tough Three Peaks Light Cushion Hiker Micro Crew Socks - Women's,Darn Tough,27.95,0,5,2,clothing,2020-10-17
Arc'teryx Covert Hoody - Women's,Arc'teryx,219.95,0,4.7,15,clothing,2020-10-17
The North Face Westoak City Trench - Women's,The North Face,199.99,0,0,0,clothing,2020-10-17
Kari Traa Svala Hybrid - Women's,Kari Traa,65.93,56,0,0,clothing,2020-10-17
