,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
Nuun Sport Electrolyte Replacement Tablets Orange,Nuun,8.95,0,4.2,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Recreational Barrel Works Plastic Barrel,Recreational,59.95,0,4.8,9,camping-and-hiking,kitchen-and-hydration,2020-10-20
Hydrapak Force Reservoir,Hydrapak,58.95,0,4.0,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
GSI Microlite Twist Bottle,GSI,42.95,0,4.0,11,camping-and-hiking,kitchen-and-hydration,2020-10-20
Clif Shot Shot Bloks Fast Pak Citrus,Clif Shot,2.55,0,3.8,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
GSI Isobutane 110 Fuel Canister,GSI,6.25,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Sierra Dawn CampSuds Nalgene 118ml,Sierra Dawn,7.95,0,3.9,25,camping-and-hiking,kitchen-and-hydration,2020-10-20
Ritter Sport Butter Biscuit Chocolate Bar,Ritter Sport,2.95,0,4.8,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Skratch Labs Sport Hydration Lemons & Limes,Skratch Labs,27.95,0,4.5,76,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Espresso Love Gel,GU,2.25,0,5.0,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nuun Electrolyte Replacement Tablets Strawberry Lemon,Nuun,8.95,0,3.8,5,camping-and-hiking,kitchen-and-hydration,2020-10-20
Jetboil Genesis 2 Burner Stove,Jetboil,349.95,0,3.6,15,camping-and-hiking,kitchen-and-hydration,2020-10-20
Ritter Sport Coconut Chocolate Bar,Ritter Sport,2.95,0,5.0,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nalgene MEC Crest Widemouth Bottle,Nalgene,16.95,0,5.0,5,camping-and-hiking,kitchen-and-hydration,2020-10-20
Humangear GoBites Uno Spork,Humangear,2.95,0,5.0,6,camping-and-hiking,kitchen-and-hydration,2020-10-20
Honey Stinger Organic Energy Chews Orange Blossom,Honey Stinger,2.60,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Yeti Hopper Flip 8,Yeti,250.00,0,4.6,637,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nuun Hydration Immunity Tablets Blueberry Tangerine,Nuun,9.95,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
AlpineAire Pepper Beef with Rice,AlpineAire,12.75,0,2.9,13,camping-and-hiking,kitchen-and-hydration,2020-10-20
Klean Kanteen Classic Stainless Steel Bottle 800ml,Klean Kanteen,28.00,0,4.5,424,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nuun Sport Electrolyte Replacement Tablets Lemon Lime,Nuun,8.95,0,3.7,21,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nuun Sport  & Caffeine Electrolyte Replacement Tablets Wildberry,Nuun,8.95,0,4.7,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Salted Caramel Gel,GU,2.25,0,5.0,8,camping-and-hiking,kitchen-and-hydration,2020-10-20
Jetboil MiniMo Regulated Cooking System,Jetboil,174.95,0,4.6,12,camping-and-hiking,kitchen-and-hydration,2020-10-20
Backpacker's Pantry Vanilla Ice Cream Sandwich,Backpacker's Pantry,4.50,0,4.5,13,camping-and-hiking,kitchen-and-hydration,2020-10-20
Aeropress Go Travel Coffee Press,Aeropress,44.95,0,4.5,6,camping-and-hiking,kitchen-and-hydration,2020-10-20
Moon Cheese Medium Cheddar,Moon Cheese,4.75,0,3.7,15,camping-and-hiking,kitchen-and-hydration,2020-10-20
AlpineAire Smokehouse Chicken With Beans & Rice,AlpineAire,12.75,0,1.7,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
Hydro Flask 354ml Wide Mouth Kids Bottle - Children to Youths,Hydro Flask,35.95,0,4.1,103,camping-and-hiking,kitchen-and-hydration,2020-10-20
Polar Bottle Breakaway Insulated 710ml Water Bottle,Polar Bottle,19.95,0,4.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Probar Peanut Butter Chocolate Chip Bar (Meal),Probar,3.70,0,5.0,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Ritter Sport Alpine Milk Chocolate Bar,Ritter Sport,2.95,0,5.0,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Light My Fire FireSteel BIO Scout,Light,15.95,25,4.0,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Chuao Oh My Smores! Milk Chocolate Bar,Chuao,6.00,0,4.1,7,camping-and-hiking,kitchen-and-hydration,2020-10-20
MSR WhisperLite International Stove,MSR,129.95,0,4.7,36,camping-and-hiking,kitchen-and-hydration,2020-10-20
Humangear GoTubb 14ml (3 Pack),Humangear,10.95,0,4.1,1875,camping-and-hiking,kitchen-and-hydration,2020-10-20
AlpineAire Sweet Potato Chicken & Rice,AlpineAire,10.50,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Honey Stinger GF Cinnamon Waffle,Honey Stinger,2.05,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Clif Shot Shot Bloks Fast Pak Tropical Punch,Clif Shot,2.55,0,3.7,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
Honey Stinger GF Salted Caramel Waffle,Honey Stinger,2.05,0,4.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Hydro Flask 1.2L Wide Mouth Bottle,Hydro Flask,49.95,0,4.5,64,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nuun Sport & Caffeine Electrolytes Replacement Tab,Nuun,8.95,0,3.7,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
Clif Shot Shot Bloks Fast Pak Black Cherry,Clif Shot,2.55,0,5.0,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Hornby Organic Chocolate Espresso Bar,Hornby Organic,3.40,0,4.0,5,camping-and-hiking,kitchen-and-hydration,2020-10-20
Aeropress Coffee Filters,Aeropress,6.25,0,4.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Moon Cheese Gouda,Moon Cheese,4.75,0,4.3,18,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nalgene Wide-Mouth Loop-Top HDPE Water Bottle,Nalgene,7.95,0,4.3,20,camping-and-hiking,kitchen-and-hydration,2020-10-20
Clif Shot Shot Bloks Fast Pak Strawberry,Clif Shot,2.55,0,4.2,5,camping-and-hiking,kitchen-and-hydration,2020-10-20
AlpineAire Southwestern Style Masa with Beef,AlpineAire,12.75,0,3.1,7,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nalgene MEC Facing Sunrise Widemouth Bottle,Nalgene,16.95,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Klean Kanteen TKWide Cafe Bottle 473ml,Klean Kanteen,41.95,0,4.5,138,camping-and-hiking,kitchen-and-hydration,2020-10-20
GSI Isobutane 450g Fuel Canister,GSI,8.95,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Yeti Rambler 12 Vaccum Bottle,Yeti,40.00,0,4.6,594,camping-and-hiking,kitchen-and-hydration,2020-10-20
Endurance Tap Tap Maple Energy Gel,Endurance Tap,3.30,0,4.7,14,camping-and-hiking,kitchen-and-hydration,2020-10-20
Primus Winter Gas Fuel Canister,Primus,8.75,0,4.3,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
AlpineAire Pasta Roma,AlpineAire,9.25,0,2.8,6,camping-and-hiking,kitchen-and-hydration,2020-10-20
Cocoa Camino Espresso Dark Chocolate Bar 55%,Cocoa Camino,4.50,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nuun Sport Electrolyte Replacement Tablets Citrus,Nuun,8.95,0,5.0,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Backpacker's Pantry Wild West Chili,Backpacker's Pantry,12.75,0,1.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
AlpineAire Cheese Enchilada Ranchero,AlpineAire,9.25,0,4.5,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Cocoa Camino Organic Fair Trade Milk with Sea Salt Chocolate,Cocoa Camino,4.50,0,5.0,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Vanilla Bean Gel,GU,2.25,0,4.0,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Caramel Macchiato Gel,GU,2.25,0,4.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
RXBAR Peanut Butter Chocolate,RXBAR,2.95,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Probar Superfruit Slam Bar (Meal),Probar,3.70,0,3.7,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
Hornby Organic Chocolate Chip Peanut Butter Bar,Hornby Organic,3.40,0,5.0,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Honey Stinger Organic Energy Chews Pomegranate,Honey Stinger,2.60,0,5.0,12,camping-and-hiking,kitchen-and-hydration,2020-10-20
Pristine Water Purification Tabs,Pristine,9.00,0,3.5,16,camping-and-hiking,kitchen-and-hydration,2020-10-20
Honey Stinger Fruit Smoothie Organic Energy Gel,Honey Stinger,1.95,0,3.5,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Honey Stinger Mango Orange Energy Gel,Honey Stinger,1.95,0,3.8,987,camping-and-hiking,kitchen-and-hydration,2020-10-20
Yeti Hopper BackFlip Cooler - Unisex,Yeti,400.00,0,4.7,645,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Campfire S'more Gel,GU,2.25,0,5.0,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Salted Watermelon Gel,GU,2.25,0,4.5,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Chuao Baconluxious Milk Chocolate Bar,Chuao,6.00,0,3.2,6,camping-and-hiking,kitchen-and-hydration,2020-10-20
Clif Shot Shot Bloks Fast Pak Orange,Clif Shot,2.55,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Honey Stinger Chocolate Waffle,Honey Stinger,2.05,0,4.0,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Chuao Pretzel Toffee Twirl Chocolate Bar,Chuao,6.00,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
RXBAR Chocolate Sea Salt,RXBAR,2.95,0,4.0,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Chocolate Outrage Gel,GU,2.25,0,4.5,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
LifeStraw Go Water Bottle Filter,LifeStraw,52.95,0,4.3,123,camping-and-hiking,kitchen-and-hydration,2020-10-20
MSR Reactor 1.7L Stove System,MSR,299.95,0,4.8,29,camping-and-hiking,kitchen-and-hydration,2020-10-20
Osprey Hydraulics Reservoir,Osprey,64.95,0,3.6,7,camping-and-hiking,kitchen-and-hydration,2020-10-20
Yeti Hopper Flip 18 Cooler,Yeti,400.00,0,4.7,635,camping-and-hiking,kitchen-and-hydration,2020-10-20
